Id;homicide;theft;kidnapping;rape;drug_trafficking;arms_trafficking;weapon_carrying;ideological_falsehood;embezzlement
1;1;1;0;0;1;0;1;0;0
2;1;0;0;0;1;0;0;0;0
3;0;1;0;0;1;0;1;1;0
4;0;1;0;0;1;0;1;1;0
5;0;1;0;0;1;0;0;1;0
7;1;0;0;0;0;0;0;1;0
8;0;0;0;0;1;0;0;0;0
10;0;1;0;0;1;0;0;0;0
11;0;1;1;0;1;0;0;1;0
12;0;1;0;0;0;0;0;0;0
13;1;1;1;0;1;0;0;1;0
14;0;1;0;0;1;0;1;0;1
15;0;1;0;0;1;0;1;0;0
16;0;0;0;0;1;0;1;0;0
17;0;1;1;0;0;0;1;0;0
18;0;1;0;0;0;0;0;0;0
19;0;0;0;0;1;0;1;0;0
20;0;0;0;0;1;0;0;0;0
21;1;1;0;0;1;1;1;0;0
22;0;1;0;0;1;0;1;0;0
26;0;0;0;0;1;0;0;0;0
28;1;0;0;0;1;0;0;0;0
29;0;1;0;0;1;0;0;0;0
30;0;0;0;0;1;0;1;0;0
31;0;1;1;0;1;0;0;0;0
32;0;0;0;0;1;0;0;0;0
33;1;1;0;0;1;0;0;0;0
34;0;1;0;0;1;0;0;1;0
35;0;0;0;0;1;0;1;0;0
36;1;0;0;0;0;0;1;0;0
37;0;1;0;0;0;0;0;0;0
38;1;0;0;0;0;0;1;0;0
39;0;1;1;0;1;0;0;0;0
40;0;0;0;0;1;0;1;0;0
41;1;1;0;0;1;0;1;0;0
42;1;1;0;0;1;0;1;0;0
43;1;1;0;0;1;0;1;0;0
44;1;1;0;0;1;0;0;0;0
45;0;0;0;0;1;0;0;0;0
46;0;0;0;0;1;0;0;0;0
47;1;1;1;0;1;0;1;0;0
48;1;1;0;1;1;1;1;1;1
49;0;1;0;0;1;0;1;1;0
51;0;0;0;0;1;0;0;0;0
52;1;0;0;0;1;0;0;0;0
53;1;0;0;0;1;0;0;0;0
54;1;0;0;0;1;0;0;0;0
55;0;0;0;0;1;0;0;0;0
56;0;1;0;0;0;0;0;0;0
58;1;0;0;0;0;0;0;0;0
59;0;1;0;0;0;0;0;0;0
60;1;1;0;0;1;0;1;1;0
61;1;1;0;0;1;0;1;1;0
62;0;1;1;0;0;0;0;0;0
63;1;1;0;0;1;0;1;0;0
64;1;1;1;0;1;0;1;0;0
65;1;0;0;0;1;0;0;0;0
67;0;1;0;0;1;1;1;0;0
68;1;0;0;0;1;0;1;0;0
69;0;1;0;0;1;0;1;0;0
70;1;0;0;0;0;1;0;0;0
71;0;1;0;0;1;0;1;0;0
72;0;1;0;0;1;0;0;0;0
73;0;1;1;0;0;0;1;0;0
74;1;1;0;0;1;0;0;1;0
78;1;1;0;0;1;0;0;1;0
79;1;1;0;0;1;0;1;1;0
80;1;1;1;0;1;0;1;0;0
81;0;1;0;0;1;0;1;0;0
82;0;1;0;0;0;0;1;0;0
83;1;1;0;0;0;0;1;0;0
84;1;1;0;0;1;0;0;0;0
85;0;0;0;0;1;0;0;0;0
86;1;1;1;0;1;0;1;0;0
87;0;1;0;0;0;0;0;0;0
88;1;0;0;0;1;0;0;0;0
89;1;1;0;0;1;0;0;0;0
90;1;1;0;0;1;0;1;0;0
92;0;1;0;0;1;0;0;0;0
