source;target
2;80
3;80
4;15
4;90
5;47
10;19
11;39
11;47
13;51
16;19
16;80
19;48
19;80
19;81
20;47
21;48
21;81
22;1
22;80
26;14
26;81
28;51
29;28
30;51
31;11
31;39
32;51
33;13
33;51
34;81
35;10
35;19
40;71
43;13
43;33
43;53
44;1
44;80
45;47
46;6
46;48
46;55
47;5
47;20
47;31
47;39
47;61
48;51
48;54
48;55
49;4
49;15
49;90
51;8
51;40
51;84
53;51
53;85
60;11
61;47
64;48
68;13
68;33
68;51
69;48
72;21
74;80
78;80
79;33
80;3
80;11
80;16
80;19
80;21
80;47
80;48
80;51
80;52
80;54
80;81
80;88
80;90
86;2
89;48
92;81
